date,daily_pct_change,price,year,day,month,price_range
2010-09-25,,0.1,2010,Saturday,September,0-500
2010-09-26,0.0,0.1,2010,Sunday,September,0-500
2010-09-27,0.0,0.1,2010,Monday,September,0-500
2010-09-28,0.0,0.1,2010,Tuesday,September,0-500
2010-09-29,0.0,0.1,2010,Wednesday,September,0-500
2010-09-30,0.0,0.1,2010,Thursday,September,0-500
2010-10-01,0.0,0.1,2010,Friday,October,0-500
2010-10-02,0.0,0.1,2010,Saturday,October,0-500
2010-10-03,0.0,0.1,2010,Sunday,October,0-500
2010-10-04,0.0,0.1,2010,Monday,October,0-500
2010-10-05,0.0,0.1,2010,Tuesday,October,0-500
2010-10-06,0.0,0.1,2010,Wednesday,October,0-500
2010-10-07,0.0,0.1,2010,Thursday,October,0-500
2010-10-08,0.0,0.1,2010,Friday,October,0-500
2010-10-09,0.0,0.1,2010,Saturday,October,0-500
2010-10-10,0.0,0.1,2010,Sunday,October,0-500
2010-10-11,0.0,0.1,2010,Monday,October,0-500
2010-10-12,0.0,0.1,2010,Tuesday,October,0-500
2010-10-13,0.0,0.1,2010,Wednesday,October,0-500
2010-10-14,0.0,0.1,2010,Thursday,October,0-500
2010-10-15,0.0,0.1,2010,Friday,October,0-500
2010-10-16,0.0,0.1,2010,Saturday,October,0-500
2010-10-17,0.0,0.1,2010,Sunday,October,0-500
2010-10-18,0.0,0.1,2010,Monday,October,0-500
2010-10-19,0.0,0.1,2010,Tuesday,October,0-500
2010-10-20,0.0,0.1,2010,Wednesday,October,0-500
2010-10-21,0.0,0.1,2010,Thursday,October,0-500
2010-10-22,0.0,0.1,2010,Friday,October,0-500
2010-10-23,0.0,0.1,2010,Saturday,October,0-500
2010-10-24,0.0,0.1,2010,Sunday,October,0-500
2010-10-25,0.0,0.1,2010,Monday,October,0-500
2010-10-26,100.0,0.2,2010,Tuesday,October,0-500
2010-10-27,0.0,0.2,2010,Wednesday,October,0-500
2010-10-28,0.0,0.2,2010,Thursday,October,0-500
2010-10-29,0.0,0.2,2010,Friday,October,0-500
2010-10-30,0.0,0.2,2010,Saturday,October,0-500
2010-10-31,0.0,0.2,2010,Sunday,October,0-500
2010-11-01,0.0,0.2,2010,Monday,November,0-500
2010-11-02,0.0,0.2,2010,Tuesday,November,0-500
2010-11-03,0.0,0.2,2010,Wednesday,November,0-500
2010-11-04,0.0,0.2,2010,Thursday,November,0-500
2010-11-05,49.99999999999998,0.3,2010,Friday,November,0-500
2010-11-06,33.33333333333335,0.4,2010,Saturday,November,0-500
2010-11-07,-25.00000000000001,0.3,2010,Sunday,November,0-500
2010-11-08,-33.33333333333333,0.2,2010,Monday,November,0-500
2010-11-09,0.0,0.2,2010,Tuesday,November,0-500
2010-11-10,0.0,0.2,2010,Wednesday,November,0-500
2010-11-11,0.0,0.2,2010,Thursday,November,0-500
2010-11-12,49.99999999999998,0.3,2010,Friday,November,0-500
2010-11-13,0.0,0.3,2010,Saturday,November,0-500
2010-11-14,0.0,0.3,2010,Sunday,November,0-500
2010-11-15,0.0,0.3,2010,Monday,November,0-500
2010-11-16,-33.33333333333333,0.2,2010,Tuesday,November,0-500
2010-11-17,0.0,0.2,2010,Wednesday,November,0-500
2010-11-18,49.99999999999998,0.3,2010,Thursday,November,0-500
2010-11-19,0.0,0.3,2010,Friday,November,0-500
2010-11-20,0.0,0.3,2010,Saturday,November,0-500
2010-11-21,0.0,0.3,2010,Sunday,November,0-500
2010-11-22,0.0,0.3,2010,Monday,November,0-500
2010-11-23,0.0,0.3,2010,Tuesday,November,0-500
2010-11-24,0.0,0.3,2010,Wednesday,November,0-500
2010-11-25,0.0,0.3,2010,Thursday,November,0-500
2010-11-26,0.0,0.3,2010,Friday,November,0-500
2010-11-27,0.0,0.3,2010,Saturday,November,0-500
2010-11-28,0.0,0.3,2010,Sunday,November,0-500
2010-11-29,-33.33333333333333,0.2,2010,Monday,November,0-500
2010-11-30,0.0,0.2,2010,Tuesday,November,0-500
2010-12-01,0.0,0.2,2010,Wednesday,December,0-500
2010-12-02,49.99999999999998,0.3,2010,Thursday,December,0-500
2010-12-03,0.0,0.3,2010,Friday,December,0-500
2010-12-04,-33.33333333333333,0.2,2010,Saturday,December,0-500
2010-12-05,0.0,0.2,2010,Sunday,December,0-500
2010-12-06,0.0,0.2,2010,Monday,December,0-500
2010-12-07,0.0,0.2,2010,Tuesday,December,0-500
2010-12-08,0.0,0.2,2010,Wednesday,December,0-500
2010-12-09,0.0,0.2,2010,Thursday,December,0-500
2010-12-10,0.0,0.2,2010,Friday,December,0-500
2010-12-11,0.0,0.2,2010,Saturday,December,0-500
2010-12-12,0.0,0.2,2010,Sunday,December,0-500
2010-12-13,0.0,0.2,2010,Monday,December,0-500
2010-12-14,0.0,0.2,2010,Tuesday,December,0-500
2010-12-15,0.0,0.2,2010,Wednesday,December,0-500
2010-12-16,49.99999999999998,0.3,2010,Thursday,December,0-500
2010-12-17,-33.33333333333333,0.2,2010,Friday,December,0-500
2010-12-18,0.0,0.2,2010,Saturday,December,0-500
2010-12-19,0.0,0.2,2010,Sunday,December,0-500
2010-12-20,49.99999999999998,0.3,2010,Monday,December,0-500
2010-12-21,-33.33333333333333,0.2,2010,Tuesday,December,0-500
2010-12-22,49.99999999999998,0.3,2010,Wednesday,December,0-500
2010-12-23,0.0,0.3,2010,Thursday,December,0-500
2010-12-24,-33.33333333333333,0.2,2010,Friday,December,0-500
2010-12-25,0.0,0.2,2010,Saturday,December,0-500
2010-12-26,49.99999999999998,0.3,2010,Sunday,December,0-500
2010-12-27,0.0,0.3,2010,Monday,December,0-500
2010-12-28,0.0,0.3,2010,Tuesday,December,0-500
2010-12-29,0.0,0.3,2010,Wednesday,December,0-500
2010-12-30,0.0,0.3,2010,Thursday,December,0-500
2010-12-31,0.0,0.3,2010,Friday,December,0-500
2011-01-01,0.0,0.3,2011,Saturday,January,0-500
2011-01-02,0.0,0.3,2011,Sunday,January,0-500
2011-01-03,0.0,0.3,2011,Monday,January,0-500
2011-01-04,0.0,0.3,2011,Tuesday,January,0-500
2011-01-05,0.0,0.3,2011,Wednesday,January,0-500
2011-01-06,0.0,0.3,2011,Thursday,January,0-500
2011-01-07,0.0,0.3,2011,Friday,January,0-500
2011-01-08,0.0,0.3,2011,Saturday,January,0-500
2011-01-09,0.0,0.3,2011,Sunday,January,0-500
2011-01-10,0.0,0.3,2011,Monday,January,0-500
2011-01-11,0.0,0.3,2011,Tuesday,January,0-500
2011-01-12,0.0,0.3,2011,Wednesday,January,0-500
2011-01-13,0.0,0.3,2011,Thursday,January,0-500
